dataset,method_key,method,n,mean_ms,std_ms,sem_ms,ci95_lower_ms,ci95_upper_ms
fiqa,bm25_cosine_float,BM25 + Cosine (float),10,310.71702917921357,22.900648326541763,7.241820860639539,294.3348922476164,327.09916611081076
fiqa,hamming,Hamming,10,9.838076202431694,1.1682245575048862,0.36942504202577914,9.002378697496049,10.673773707367339
fiqa,hamming_cosine_int8,Hamming + Cosine (int8),10,58.52336082956754,1.1347868892940882,0.35885112290666626,57.711583191506044,59.33513846762903
fiqa,hamming_cosine_float,Hamming + Cosine (float),10,261.312344543403,8.796448392192781,2.781681223945529,255.01974443803337,267.6049446487727
fiqa,cosine_int8,Cosine (int8),10,304.9141333019361,4.074424783194134,1.2884462469931202,301.99946539542015,307.82880120845203
fiqa,cosine_int8_float,Cosine (int8) + Cosine (float),10,547.7701462688856,4.109565231682045,1.299558632515282,544.8303403998649,550.7099521379063
fiqa,cosine_float,Cosine (float),10,484.0795229852665,11.311156843853945,3.5769018597980002,475.9880088224983,492.17103714803477
fiqa,rrf_hamming,RRF (BM25 + Hamming),10,74.65077668544836,21.661151101487967,6.849857422176708,59.15532265372488,90.14623071717185
fiqa,rrf_cosine_int8,RRF (BM25 + Cosine (int8)),10,360.334100862965,22.345915721207238,7.0663990081179024,344.3487957315609,376.31940599436905
fiqa,rrf_cosine_float,RRF (BM25 + Cosine (float)),10,543.5633770178538,20.67000126554865,6.536428323769662,528.7769488661212,558.3498051695864
nfcorpus,bm25,BM25,10,1.3944365957286209,1.5109193044198888,0.47779463626841606,0.31359003694746046,2.475283154509781
nfcorpus,bm25_hamming,BM25 + Hamming,10,5.187365052988753,2.9494794945947382,0.9327073114881662,3.077434527511541,7.297295578465965
nfcorpus,bm25_cosine_int8,BM25 + Cosine (int8),10,10.297282981919125,5.746635247516117,1.8172456264356402,6.18638777151403,14.408178192324218
nfcorpus,bm25_cosine_float,BM25 + Cosine (float),10,21.381875018123537,8.912047568414678,2.818236893195566,15.006580243719029,27.757169792528046
nfcorpus,hamming,Hamming,10,2.321239138254896,1.2336667215968737,0.3901196713798957,1.4387271292943828,3.2037511472154088
nfcorpus,hamming_cosine_int8,Hamming + Cosine (int8),10,6.928960389923304,1.0969278945218737,0.34687905756620574,6.144265445225221,7.713655334621388
nfcorpus,hamming_cosine_float,Hamming + Cosine (float),10,20.31094666570425,1.196938508346855,0.37850519055405224,19.4547084377361,21.1671848936724
nfcorpus,cosine_int8,Cosine (int8),10,22.23325911676511,1.8451067176480112,0.5834739753844911,20.91334928404274,23.553168949487482
nfcorpus,cosine_int8_float,Cosine (int8) + Cosine (float),10,39.59249297273345,1.1569981818575308,0.36587495033435014,38.76482633314617,40.42015961232074
nfcorpus,cosine_float,Cosine (float),10,34.33674667146988,1.3166762055004344,0.4163695750329294,33.3948532549379,35.278640088001865
nfcorpus,rrf_hamming,RRF (BM25 + Hamming),10,4.219905422069132,1.445670051167997,0.45716101067830345,3.1857353672111417,5.254075476927123
nfcorpus,rrf_cosine_int8,RRF (BM25 + Cosine (int8)),10,23.997344179078937,1.4108245882976147,0.4461419077989798,22.98810106672702,25.006587291430854
nfcorpus,rrf_cosine_float,RRF (BM25 + Cosine (float)),10,37.2003066923935,2.1955441350398694,0.6942920170150286,35.629709033029336,38.77090435175766
quora,bm25,BM25,10,228.73931915382855,84.96335338842206,26.867771435319845,167.96019755299474,289.5184407546623
quora,bm25_hamming,BM25 + Hamming,10,324.6565712231677,96.70235767132124,30.57997053496314,255.47987183934276,393.83327060699264
quora,bm25_cosine_int8,BM25 + Cosine (int8),10,670.8919708523899,98.43921411186386,31.129212767047893,600.4727992191432,741.3111424856367
quora,bm25_cosine_float,BM25 + Cosine (float),10,5293.526590435067,85.52530207296272,27.04547521244824,5232.345474961946,5354.7077059081885
quora,hamming,Hamming,10,81.53333537164144,4.080413352872057,1.2903399990040059,78.6143835004495,84.45228724283338
quora,hamming_cosine_int8,Hamming + Cosine (int8),10,560.6002437439747,30.693662358888076,9.706188278626284,538.6433204060123,582.5571670819371
quora,hamming_cosine_float,Hamming + Cosine (float),10,6034.107722014887,595.1641384537911,188.2074259165784,5608.352945385887,6459.862498643887
quora,cosine_int8,Cosine (int8),10,2970.9579557704274,143.60547809452973,45.41203952561309,2868.2287852802865,3073.687126260568
quora,cosine_int8_float,Cosine (int8) + Cosine (float),10,9073.132049600827,286.7540415095153,90.67958994285362,8868.000565691997,9278.263533509657
quora,cosine_float,Cosine (float),10,7294.835902913474,300.45544953198413,95.01235559308412,7079.903022154248,7509.768783672699
quora,rrf_hamming,RRF (BM25 + Hamming),10,397.4272333213594,119.33134452327906,37.73588449438216,312.06273191786704,482.7917347248517
quora,rrf_cosine_int8,RRF (BM25 + Cosine (int8)),10,3159.96463329182,142.22605386306364,44.975827282507076,3058.2222434519217,3261.7070231317184
quora,rrf_cosine_float,RRF (BM25 + Cosine (float)),10,7669.622216679854,169.2487771042342,53.521162684753726,7548.548935151251,7790.695498208458
scidocs,bm25,BM25,10,38.017753823660314,8.039156948100791,2.5422046423566536,32.26688738265436,43.76862026466627
scidocs,bm25_hamming,BM25 + Hamming,10,48.65871500922367,8.433747037812628,2.666984984918612,42.62557582251477,54.69185419593257
scidocs,bm25_cosine_int8,BM25 + Cosine (int8),10,76.4735307614319,9.13961180366653,2.8901990229345893,69.93544633978804,83.01161518307576
scidocs,bm25_cosine_float,BM25 + Cosine (float),10,167.71256656385958,8.403809689812139,2.6575179642399482,161.70084326578927,173.7242898619299
scidocs,hamming,Hamming,10,6.741822152398527,1.4824336322811171,0.46878667580448424,5.681353015903053,7.802291288894001
scidocs,hamming_cosine_int8,Hamming + Cosine (int8),10,35.44595618150197,3.576792170109532,1.131080997460255,32.88727320139232,38.00463916161162
scidocs,hamming_cosine_float,Hamming + Cosine (float),10,135.55212915176526,6.988520567460373,2.2099642468107183,130.55284270131446,140.55141560221605
scidocs,cosine_int8,Cosine (int8),10,156.1320512520615,5.9669971477553485,1.8869301778635175,151.86351863450744,160.40058386961556
scidocs,cosine_int8_float,Cosine (int8) + Cosine (float),10,264.2536904779263,5.582152843110316,1.7652317231413155,260.2604588914235,268.24692206442904
scidocs,cosine_float,Cosine (float),10,231.22783087426797,6.843933062228448,2.1642416630372785,226.33197609420188,236.12368565433405
scidocs,rrf_hamming,RRF (BM25 + Hamming),10,42.65259580221027,7.415712451455515,2.345054181947026,37.34771468736892,47.95747691705162
scidocs,rrf_cosine_int8,RRF (BM25 + Cosine (int8)),10,185.06308836862445,13.352555292495278,4.222448730762087,175.5112457277828,194.6149310094661
scidocs,rrf_cosine_float,RRF (BM25 + Cosine (float)),10,264.7372841660399,11.124463287470407,3.5178641735330953,256.7793225281308,272.695245803949
scifact,bm25,BM25,10,8.165161639917642,4.674199755134321,1.4781117464825773,4.821440565195916,11.508882714639368
scifact,bm25_hamming,BM25 + Hamming,10,12.779430847149342,4.17677034988683,1.3208107569100787,9.791549332704289,15.767312361594396
scifact,bm25_cosine_int8,BM25 + Cosine (int8),10,20.108416185248643,4.42259799688595,1.3985482845457864,16.94468016584425,23.272152204653036
scifact,bm25_cosine_float,BM25 + Cosine (float),10,40.79258330282755,6.53048121780751,2.065119486522188,36.12095846435723,45.464208141297874
scifact,hamming,Hamming,10,3.0191712907981128,1.5298595686065395,0.4837840736999294,1.9247756832301228,4.113566898366103
scifact,hamming_cosine_int8,Hamming + Cosine (int8),10,9.395946632139385,1.4435484926352222,0.4564901149630101,8.363294248829236,10.428599015449533
scifact,hamming_cosine_float,Hamming + Cosine (float),10,30.033240494085476,1.6704760451452838,0.5282509079409355,28.83825391893223,31.22822706923872
scifact,cosine_int8,Cosine (int8),10,31.929897139780223,2.4998016199974993,0.7905066817770816,30.141646787358358,33.71814749220209
scifact,cosine_int8_float,Cosine (int8) + Cosine (float),10,59.10608879872598,3.0230217278189975,0.955963407608563,56.94354932883129,61.26862826862067
scifact,cosine_float,Cosine (float),10,51.308591682463884,1.3292152717591714,0.42033477594386687,50.357728358289286,52.25945500663848
scifact,rrf_hamming,RRF (BM25 + Hamming),10,13.07250958867371,4.318365610635864,1.3655871098953172,9.983336926599119,16.161682250748303
scifact,rrf_cosine_int8,RRF (BM25 + Cosine (int8)),10,42.20928293885663,3.9267955338232206,1.2417617792658135,39.40022263540143,45.018343242311836
scifact,rrf_cosine_float,RRF (BM25 + Cosine (float)),10,60.82803423400037,3.9684186372274706,1.2549241602700274,57.98919855607701,63.66686991192373
trec-covid,bm25,BM25,10,211.5600503643509,110.72743353801604,35.01508894450471,132.35041610252333,290.76968462617845
trec-covid,bm25_hamming,BM25 + Hamming,10,253.38123913272284,104.96517421156827,33.19290255049244,178.29367687406358,328.4688013913821
trec-covid,bm25_cosine_int8,BM25 + Cosine (int8),10,392.2165554203093,114.19764051868228,36.112464745616826,310.52448462971455,473.90862621090406
trec-covid,bm25_cosine_float,BM25 + Cosine (float),10,1020.3439729101956,113.60145344270722,35.923933838453124,939.07838866165,1101.6095571587412
trec-covid,hamming,Hamming,10,24.446134221507236,2.5584292845852423,0.809046377176448,22.615944164341595,26.276324278672877
trec-covid,hamming_cosine_int8,Hamming + Cosine (int8),10,184.63650251273066,7.458768824718227,2.3586698026766806,179.30082072392977,189.97218430153154
trec-covid,hamming_cosine_float,Hamming + Cosine (float),10,812.6932579302229,10.870463800750937,3.437542483278374,804.9169965792516,820.4695192811942
trec-covid,cosine_int8,Cosine (int8),10,955.7590467191767,40.21044274378211,12.715658479414188,926.9942288102742,984.5238646280792
trec-covid,cosine_int8_float,Cosine (int8) + Cosine (float),10,1748.231385012623,27.833609678764855,8.801760208900447,1728.3204201108265,1768.1423499144194
trec-covid,cosine_float,Cosine (float),10,1558.374877423048,41.21477503385873,13.033256235843691,1528.8916034745498,1587.8581513715462
trec-covid,rrf_hamming,RRF (BM25 + Hamming),10,273.2273575034924,113.85165919059823,36.00305584315327,191.78278684527945,354.6719281617053
trec-covid,rrf_cosine_int8,RRF (BM25 + Cosine (int8)),10,1172.840995005099,108.53094190296763,34.32049730167868,1095.2026362033102,1250.479353806888
trec-covid,rrf_cosine_float,RRF (BM25 + Cosine (float)),10,2174.9077629239764,420.16388089471553,132.86748541630067,1874.340629086506,2475.474896761447
webis-touche2020,bm25,BM25,10,436.4557796122972,269.33054487354224,85.16979652545798,243.78831434816675,629.1232448764276
