dataset,method_key,method,measure,value
nfcorpus,bm25,BM25,AP,0.15108673200578285
nfcorpus,bm25,BM25,RR,0.5252590156387196
nfcorpus,bm25,BM25,P@10,0.2309597523219814
nfcorpus,bm25,BM25,nDCG@10,0.3226738935336881
nfcorpus,bm25_hamming,BM25 + Hamming,AP,0.1824424076463506
nfcorpus,bm25_hamming,BM25 + Hamming,RR,0.6153338108108192
nfcorpus,bm25_hamming,BM25 + Hamming,P@10,0.2839009287925697
nfcorpus,bm25_hamming,BM25 + Hamming,nDCG@10,0.3879482432566859
nfcorpus,bm25_cosine_int8,BM25 + cos_int8,AP,0.18057409030293048
nfcorpus,bm25_cosine_int8,BM25 + cos_int8,RR,0.603783890628057
nfcorpus,bm25_cosine_int8,BM25 + cos_int8,P@10,0.28049535603715176
nfcorpus,bm25_cosine_int8,BM25 + cos_int8,nDCG@10,0.3838143217681745
nfcorpus,bm25_cosine_float,BM25 + cos_float,AP,0.18199221501858898
nfcorpus,bm25_cosine_float,BM25 + cos_float,RR,0.6062299565676368
nfcorpus,bm25_cosine_float,BM25 + cos_float,P@10,0.2823529411764706
nfcorpus,bm25_cosine_float,BM25 + cos_float,nDCG@10,0.385858712066019
nfcorpus,hamming,Hamming,AP,0.21747863330579034
nfcorpus,hamming,Hamming,RR,0.6196716527308201
nfcorpus,hamming,Hamming,P@10,0.3012383900928793
nfcorpus,hamming,Hamming,nDCG@10,0.4059629925242401
nfcorpus,hamming_cosine_int8,Hamming + cos_int8,AP,0.22020501642344473
nfcorpus,hamming_cosine_int8,Hamming + cos_int8,RR,0.6155181396969528
nfcorpus,hamming_cosine_int8,Hamming + cos_int8,P@10,0.30030959752321984
nfcorpus,hamming_cosine_int8,Hamming + cos_int8,nDCG@10,0.40582764979052927
nfcorpus,hamming_cosine_float,Hamming + cos_float,AP,0.22212287519442142
nfcorpus,hamming_cosine_float,Hamming + cos_float,RR,0.6200050859906222
nfcorpus,hamming_cosine_float,Hamming + cos_float,P@10,0.3037151702786378
nfcorpus,hamming_cosine_float,Hamming + cos_float,nDCG@10,0.40954014055291776
nfcorpus,cosine_int8,cos_int8,AP,0.2202771658044821
